StrategicIssues,project_name,PriorityOrder,Sub-activities,Strategy,ProjectIndicators,ImplementingAgency,AlignmentwithThailandVision,Budget,Unnamed: 9
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ขยายเขตประปาหมู่1-8ตําบลสวนพริกไทย,69.0,"1. ปรับพื้นที่
2. ลงเข็ม
3. วางท่อ
4. ทดสอบระบบ",กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ขยายเขตประปาส่วนภูมิภาค หมู่ที่ 1 - 8ตําบลสวนพริกไทย,อําเภอเมืองปทุมธานี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,1541634.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ปรับปรุงระบบระบายน้ำบริเวณชุมชนรัตนโกสินทร์200และชุมชนตลาดรังสิต,88.0,ขยายระบบการจําหน่ายประปาเพื่อรองรับการเจริญเติบโตของเมือง,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,ปรับปรุงระบบระบายน้ำบริเวณชุมชนรัตนโกสินทร์200 และชุมชนตลาดรังสิต,อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,90787000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ปรับปรุงระบบระบายน้ำชุมชนซอยรังสิต-นครนายก41,84.0,ปรับปรุงระบบระบายน้ำบริเวณซอยรังสิต-นครนายก 41,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,การก่อสร้างระบบป้องกันน้ำท่วมและระบบระบายน้ำในเขตเทศบาลนครรังสิตครอบคลุมพื้นที่ในเขตเทศบาลนครรังสิตที่มีความเสี่ยงต่ออุทกภัยทั้งหมด,อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,24102000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,วางท่อระบายน้ำบริเวณถนนสุสวาทตําบลบึงยี่โถ,74.0,วางท่อระบายน้ำบริเวณถ.สุสวาท ต.บึงยี่โถ,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,"1. วางท่อระบายน้ำค.ส.ล. ขนาดv 0.60 ม.ความยาว 1,835 ม.2. วางท่อระบายน้ำค.ส.ล. ขนาดv 1.00 ม.ความยาว 1,835 ม.3 บ่อพัก ค.ส.ล. รวมความยาวท่อ 2 ข้างไม่น้อยกว่า 3,670 ม.",อําเภอธัญบุรี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,12600000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ท่อระบายน้ำพร้อมรางพักวีหมู่34สวนพริกไทย,68.0,"ก่อสร้างท่อระบายน้ำพร้อมรางพักวีหมู่ 3,4สวนพริกไทย",กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,"ก่อสร้างท่อระบายน้ำพร้อมรางพักวีหมู่ 3,4 สวนพริกไทย จํานวน 1 แห่ง",อําเภอเมืองปทุมธานี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,10870000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ขยายสะพานคลองบางหลวงและบางโพธิ์ใต้,70.0,การสํารวจออกแบบและประมาณราคา,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,1. ลดการเกิดอุบัติเหตุ2. การขนส่งและการคมนาคมสะดวกรวดเร็วยิ่งขึ้น,อําเภอเมืองปทุมธานี,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,12000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,จัดฝึกอบรมส่งเสริมศีลธรรมจริยธรรมเด็กและเยาวชนในสถานศึกษาตามหลักธรรมศาสนา,43.0,อบรมส่งเสริมศีลธรรม จริยธรรม เด็กและเยาวชนในสถานศึกษา,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ผู้เข้าร่วมโครงการฯผ่านการอบรมทางด้านศีลธรรม จริยธรรม ร้อยละ100,ที่ทําการปกครองจังหวัดปทุมธานี,1.7 อื่นๆ,2866700.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,สามัคคีปรองดองเพื่อสร้างความสมานฉันท์ของประชาชนในพื้นที่จังหวัดปทุมธานีปะจําปีงบประมาณ2561,71.0,จัดกิจกรรมเพื่อสร้างความสามัคคีปรองดองสมานฉันท์ในพื้นที่จังหวัด,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,จัดกิจกรรมสามัคคีปรองดองเพื่อสร้างความสมานฉันท์อย่างน้อย 7 กิจกรรม,ที่ทําการปกครองจังหวัดปทุมธานี,1.7 อื่นๆ,5763350.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ส่งเสริมความเสมอภาคและลดความเหลื่อมล้ําทางสังคม,72.0,"1.แลกเปลี่ยนข้อมูลและบริการระหว่างภาครัฐและท้องถิ่น
2. จัดการฝึกอบรมให้ความรู้แกนนําภาคส่วนต่างๆ",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,1.ผู้นําชุมชนใน จ.ปท.สามารถเป็นพี่เลี้ยงในการให้คําแนะนําปรึกษาแก่ประชาชนได้2. ภาครัฐและท้องถิ่นปรับการบริการเชิงรุกมากยิ่งขึ้น,สำนักงานพัฒนาสังคมและความมั่นคงของมนุษย์จังหวัดปทุมธานี,1.7 อื่นๆ,1355200.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,ศูนย์การเรียนรู้ชุมชนพื้นที่เทศบาลเมืองบึงยี่โถ,85.0,ก่อสร้างศูนย์การเรียนรู้ชุมชน บริเวณเทศบาลเมืองบึงยี่โถ,กลยุทธ์ที่ 2 พัฒนาคุณภาพชีวิตชุมชนเปราะบาง,"1. ก่อสร้างอาคารค.ส.ล. 3 ชั้น ขนาดกว้าง 20 ม. ยาว30 ม. พื้นที่ประมาณ1,800 ตร.ม.",อําเภอธัญบุรี,1.7 อื่นๆ,27000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,โครงการอนุรักษ์พันธุกรรมพืชจังหวัดปทุมธานี,26.0,"1. นิเทศและติดตามการร่วมสนองพระราชดําริฯ และจัดประชุมคกก./คทง.
2. อบรมชี้แจงแนวทางการสนองพระราชดําริ อพ.สธ. ให้แก่อปท. และสถานศึกษา
3. สนับสนุนงานอนุรักษ์ทรัพยากรของส่วนราชการที่จัดร่วมกับ อพ.สธ.
4. จัดกิจกรรมสร้างจิตสํานึกการอนุรักษ์ทรัพยากรให้กับนักเรียน/นักศึกษา/ครูอาจารย์ ผู้ดูแล
5. จัดซื้อพันธุ์ไม้พร้อมจัดสวนสมุนไพรไม้หายาก",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,องค์กรปกครองส่วนท้องถิ่นและสถานศึกษาในจังหวัดปทุมธานีเข้าร่วมสนองพระราชดําริ อพ.สธ. เพิ่มขึ้น ร้อยละ 20,สำนักงานจังหวัดปทุมธานี,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,4000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,โครงการเพื่อส่งเสริมอาหารกลางวันอันเนื่องมาจากพระราชดําริ,27.0,"1.จังหวัดแต่งตั้งคณะทํางานระดับจังหวัด (เเละคณะทํางานระดับอําเภอ ตามความจําเป็น) เพื่อขับเคลื่อนโครงการ
2.จัดประชุมคณะทํางานเพื่อวางเเผนการปฎิบัติงาน โดยกําหนดหลักเกณฑ์เเละคัดเลือกโรงเรียนเข้าร่วมโครงการฯ
3.หน่วยงานที่เกี่ยวข้องดําเนินการจัดการคัดเลือก และสนับสนุนสื่อองค์ความรู้ด้านการเกษตร อาหารโภชนาการ และสุขภาพอนามัย
4. หน่วยงานร่วมปฏิบัติงาน ร่วมกันดําเนินกิจกรรมการโครงการขยายผลเกษตรเพื่ออาหารกลางวันฯในรูปแบบบูรณาการตามแผนการปฏิบัติงานให้เป็นไปตามกรอบระยะเวลา
5. ส่งเสริมการจัดตั้งกลุ่ม เช่น ยุวเกษตรกรกลุ่มแม่บ้านเกษตรกร และกลุ่มสหกรณ์เพื่อช่วยในการดําเนินงาน
6. ส่งเสริมการมีส่วนร่วมของชุมชนองค์การปกครองส่วนท้องถิ่น และหน่วยงานที่เกี่ยวข้องในการดําเนินงาน
7. สรุปประเมินผลการดําเนินงาน ตามระบบของโครงการฯ",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,โรงเรียนมีผลผลิตทางการเกษตรที่พอเพียงมาประกอบเป็นอาหารกลางวันได้อย่างสม่ําเสมอตลอดปีการศึกษา ร้อยละ 20นักเรียนมีองค์ความรู้เเละทักษะพื้นฐานทางการเกษตร อาหารโภชนาการ เเละสุขภาพอนามัยร้อยละ 100,สำนักงานจังหวัดปทุมธานี,2.1 การส่งเสริมประสิทธิภาพการผลิต การสร้างมูลค่าภาคการเกษตร และการเสริมสร้างความเข้มแข็งให้แก่เกษตรกรอย่างเป็นระบบ,5000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,พัฒนาศักยภาพเพื่อเพิ่มประสิทธิภาพผลในการปฏิบัติงานของข้าราชการฝ่ายปกครองโครงการของกระทรวงกรม,94.0,"1.) การฝึกอบรมกลุ่มเป้าหมาย
2) จัดฐานการเรียนรู้ร่วมกัน
3) จัดสัมมนาแลกเปลี่ยนความรู้",กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ผู้เข้าร่วมอบรมผ่านการอบรมตามหลักสูตรที่กําหนด ร้อยละ 100,ที่ทําการปกครองจังหวัดปทุมธานี,3.5 อื่นๆ,725010.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(1)ยกระดับการศึกษาประชากรวัยแรงงาน,,ประชาสัมพันธ์ ประกาศรับสมัครนักศึกษาจัดทําแผนการจัดการศึกษา ปฐมนิเทศจัดการเรียนการสอน ทดสอบผลการเรียนประมวลผลการเรียน/ ประกาศผล,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,เพิ่มโอกาสในการประกอบอาชีพ,กศน.,1.1 แรงงานต่างด้าวผิดกฎหมายการลักลอบหนีเข้าเมือง และการค้ามนุษย์,32053090.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(2)ส่งเสริมการมีงานทําและพัฒนาศักยภาพแรงงาน,,ฝึกอบรมแรงงานเพิ่มโอกาสในการประกอบอาชีพ และทักษะต่างๆ,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,เพิ่มโอกาสในการประกอบอาชีพ,สถาบันพัฒนาฝีมือแรงงานปทุมธานี,1.1 แรงงานต่างด้าวผิดกฎหมายการลักลอบหนีเข้าเมือง และการค้ามนุษย์,5284100.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(1)เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณวัดเจดีย์ทองหมู่ที่1ตําบลคลองควายอําเภอสามโคกจังหวัดปทุมธานีสามโคก,,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณพื้นที่ บริเวณวัดเจดีย์ทอง ต.สามโคก,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณวัดเจดีย์ทองต.สามโคก จํานวน 1 แห่ง,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,50000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(2)เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณวัดตําหนักหมู่ที่2ตําบลสามโคกอําเภอสามโคกจังหวัดปทุมธานี,,ก่อสร้างเขื่อนป้องกันตลิ่ง บริเวณวัดตําหนักต.สามโคก,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างเขื่อนป้องกันตลิ่งบริเวณวัดตําหนักต.สามโคก จํานวน 1 แห่ง,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,50000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(3)เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณหน้าวัดโบสถ์หมู่ที่1ตําบลบางกระบืออําเภอสามโคกจังหวัดปทุมธานี,,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดโบสถ์ หมู่ที่ 1,,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดโบสถ์ หมู่ที่ 1จํานวน 1 แห่ง,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,50000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(4)เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณหน้าวัดชินวนาราม(ระยะที่2)หมู่ที่2ตําบลบางขะแยงอําเภอเมืองจังหวัดปทุมธานี,,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดชินวนาราม(ระยะที่ 2) หมู่ที่ 2 ตําบลบางขะแยงอําเภอเมือง จังหวัดปทุมธานี,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดชินวนาราม (ระยะที่2) หมู่ที่ 2 ตําบลบางขะแยง อําเภอเมือง จังหวัดปทุมธานี จํานวน 1 แห่ง,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,29000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(5)เขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยาบริเวณหน้าวัดศาลาแดงเหนือหมู่ที่2ตําบลเชียงรากน้อยอําเภอสามโคกจังหวัดปทุมธานี,,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดศาลาแดงเหนือหมู่ที่ 2,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างเขื่อนป้องกันตลิ่งริมแม่น้ำเจ้าพระยา บริเวณหน้าวัดศาลาแดงเหนือ หมู่ที่2 จํานวน 1 แห่ง,กรมโยธาธิการและผังเมือง,3.3 การจัดการทรัพยากรธรรมชาติและสิ่งแวดล้อม,18000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(1)ถนนคสล.,,ก่อสร้างถนนคสล. สายย่อย.5042บางกระสั้น-สวนพริกไทย,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนคสล. สายย่อย.5042บางกระสั้น-สวนพริกไทย,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,12000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(2)ถนนคสล.,,ก่อสร้างถนนคสล. สายปท.1030สายแยก ทล.9-บ.คูบางหลวง,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนคสล. สายปท.1030สายแยก ทล.9-บ.คูบางหลวง,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,14760000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(3)ถนนคสล.,,ก่อสร้างถนนคสล. สายปท.1014 แยกทล.346-วัดเจดีย์หอย,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนคสล. สายปท.1014 แยกทล.346-วัดเจดีย์หอย,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,22000000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(4)ถนน,,ก่อสร้างถนนสายปท.3024 แยก ทล.305-เลียบคลองสิบสองฝั่งตะวันออก,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3024แยก ทล.305-เลียบคลองสิบสองฝั่งตะวันออก,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,12760000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(5)ถนน,,ก่อสร้างถนนสายปท.3022 แยกทล.305-บ.แสนสุขสกัดห้า,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3022แยก ทล.305-บ.แสนสุขสกัดห้า,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,12810000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(6)ถนนคสล.,,ก่อสร้างถนน คสล. สายปท.3020แยกทล.305-บ.คลองบางหลวง,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนน คสล.สายปท.3020 แยกทล.305-บ.คลองบางหลวง,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,27700000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(7)ถนน,,ก่อสร้างถนนสายปท.3023แยกทล.305 เลียบคลองสิบเอ็ด ฝั่งตะวันตก,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3023แยกทล.305 เลียบคลองสิบเอ็ด ฝั่งตะวันตก,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,7440000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(8)ถนน,,ก่อสร้างถนนสายปท.3006แยกทล.305-บ.คลองแปด,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3006แยกทล.305-บ.คลองแปด,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,7440000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(9)ถนน,,ก่อสร้างถนนสายปท.3009 แยกทล.305-บ.ปากคลองหกวา,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3009 แยก ทล.305-บ.ปากคลองหกวา,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,14800000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(10)ถนน,,ก่อสร้างถนนสายปท.4001 แยกทล.3261-บ.คลองห้า,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.4001แยก ทล.3261-บ.คลองห้า,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,14600000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(11)ถนน,,ก่อสร้างถนนสายปท.3015 แยกทล.305-บ.คลองสิบสองสายกลาง,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3015แยก ทล.305-บ.คลองสิบสองสายกลาง,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,14200000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(12)ถนน,,ก่อสร้างถนนสายปท.3015 แยกทล.305-บ.คลองแสนแสบ,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3015แยก ทล.05-บ.คลองแสนแสบ,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,18150000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(13)ถนน,,ก่อสร้างถนนสายปท.3033 แยกทล.305-บ.หนองหมู,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างถนนสายปท.3033 แยก ทล.305-บ.หนองหมู,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,18150000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(14)ซ่อมแซมทางหลวงชนบท(คันทางเสียหายทรุดตัวเนื่องจากภัยแล้ง),,ซ่อมแซมทางหลวงชนบท(คันทางเสียหายทรุดตัวเนื่องจากภัยแล้ง),กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ซ่อมแซมทางหลวงชนบท(คันทางเสียหายทรุดตัวเนื่องจากภัยแล้ง),กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,400000.0,
ประเด็นการพัฒนาที่ 4 : พัฒนาและเสริมสร้างศักยภาพคนและชุมชนให้มีคุณภาพเพื่อรองรับการเปลี่ยนแปลงโครงสร้างประชากรและสังคม,(15)ทางต่างระดับจุดตัดถนน,,ก่อสร้างทางต่างระดับจุดตัดถนนสายปท.4001-ทล.352,กลยุทธ์ที่ 1 พัฒนาชุมชนเข้มแข็งด้วยกระบวนการมีส่วนร่วม,ก่อสร้างทางต่างระดับจุดตัดถนนสาย ปท.4001-ทล.352,กรมทางหลวงชนบท,2.4 การพัฒนาโครงสร้างพื้นฐานรองรับการเติบโต,75750000.0,
